,linkPoster,name,role,time,content,content_img,react_list,comment,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
210,,Trung Hiếu,Thành viên,49 phút,Có bạn nào quên chìa khóa liên hệ mình qua số điện thoại 0868621546,{0: 'https://scontent.fdad3-1.fna.fbcdn.net/v/t39.30808-6/467906382_1085572733027658_2342361176922607219_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeE1BpLaJwI2X4XkVGFo85gvNWuQ2QCtufU1a5DZAK259Q9pETBamkg2y-EhslHgueBbIBPAdj5U-ItvcQSiAseR&_nc_ohc=C0jQVZAsMScQ7kNvgFF1V2v&_nc_zt=23&_nc_ht=scontent.fdad3-1.fna&_nc_gid=A9bF1JBk02U_7RFCmSwyI-5&oh=00_AYA9wtqNI39diWBp_qVyuxn5Kx39rDnKZGjurUcfvwkeSw&oe=6745B967'},"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,4.0,2.0,,,
211,,Nguyên Lê,Thành viên,1 giờ,"Xin phép chủ thớt cho em ké xíu nha! Nhận thông tắc bồn cầu, cống nghẹt ,hút hầm cầu nhanh trong ngày giá rẻ Khu vực Đà Năng .Đặc biệt có giảm giá ưu đãi cho các bạn sinh viên .Vui lòng liên hệ: 0935625735 Zalo rất xin lỗi vì sự bất tiện này!",{0: 'https://scontent.fdad3-4.fna.fbcdn.net/v/t39.30808-6/467861544_1281667939704137_719683353413486698_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeFbnUFr3qToHS2W-9Ve1hVDfhI3lVldHIJ-EjeVWV0cgk9lexV320_-ToUxFTQavTYyZqRWZQeYyBwkGuyZ0QOi&_nc_ohc=qvu3G8asfaMQ7kNvgGJcnPz&_nc_zt=23&_nc_ht=scontent.fdad3-4.fna&_nc_gid=A9bF1JBk02U_7RFCmSwyI-5&oh=00_AYC1ZhJiJ0s6c8k1eupiIwc4sN20Hxkt6PLWCX1G0so4_Q&oe=6745B02D'},"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Nguyên Lê', 'content': 'Ui'}]",5.0,3.0,,,
212,,Nguyễn Đức Hưng,Thành viên,1 giờ,"xin phép admin, bên mình có hỗ trợ check đạo văn cho sinh viên phục vụ cho việc học tập, làm đồ án, khóa luận......
𝗡𝗵𝘂̛̃𝗻𝗴 𝘁𝗶́𝗻𝗵 𝗻𝗮̆𝗻𝗴 𝗻𝗼̂̉𝗶 𝗯𝗮̣̂𝘁 𝗰𝘂̉𝗮 𝗧𝘂𝗿𝗻𝗶𝘁𝗶𝗻 𝗯𝗮𝗼 𝗴𝗼̂̀𝗺
- Kiểm tra đạo văn, đảm bảo tính chính xác của nội dung từ nhiều nguồn trên internet.
- Cung cấp phản hồi và điểm số nhanh chóng cho bài làm
- Phát triển kỹ năng viết, diễn đạt, lập luận cho học sinh.
- Thêm nhận xét màu sắc, yêu cầu sửa đổi đạo văn bằng giọng nói hoặc văn bản.
- Xây dựng lớp học trực tuyến, ngoại tuyến, quản lý giữa bài báo, bài tập và lớp học
- Giảm áp lực khi chấm điểm và tạo công bằng giữa bài làm của học sinh.
Hiện nay, Turnitin hỗ trợ trên web và ứng dụng di động, tương thích với hầu hết các thiết bị Android, IOS (iPhone, iPad và iPod touch).
 Đừng ngần ngại gửi tin nhắn để được Check đạo văn và AI một cách nhanh chóng nhất. Admin luôn sẵn sàng hỗ trợ bạn!","{0: 'https://scontent.fdad3-1.fna.fbcdn.net/v/t39.30808-6/467756426_608632572030025_3919122269090241632_n.jpg?stp=dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeFsPw7Q25CyR516ncOn16nOgObYW264M9mA5thbbrgz2XiLDGz0nGxxUbtnmF53l9smUNTR-l-6lgdCdA7o1LWp&_nc_ohc=XZTOQPZBwhcQ7kNvgGJ9tp6&_nc_zt=23&_nc_ht=scontent.fdad3-1.fna&_nc_gid=AUmcHFtui7YY-gYDLL26LDg&oh=00_AYCbqpskrJkcMFQoiwpFXx7Lbos3BuSI1I-MeSetvvvC0A&oe=6745A27A', 1: 'https://static.xx.fbcdn.net/images/emoji.php/v9/t33/1/16/2705.png', 2: 'https://static.xx.fbcdn.net/images/emoji.php/v9/t51/1/16/1f449.png'}","{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,6.0,4.0,,,
213,,Thanh Tâm,Thành viên,20 tháng 11 lúc 22:22,"Góc đổi học phần: Có ai muốn đổi t.anh chuyên ngành mầm non ( 23-0103) sang
(23-0101) không ạ,(GIÁ CẢ THƯƠNG LƯỢNG Ạ)",No picture,"{'Thích': 0, 'Yêu thích': '3', 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh 506', 'content': 'Đổi được chưa bạn'}, {'name': 'Thanh Tâm', 'content': 'Tác giả Người tham gia ẩn danh 506 dạ vẫn chưa ạ'}, {'name': 'Thanh Tâm', 'content': 'Tác giả Ib ạ, giá cả thương lượng'}, {'name': 'Tài Lê', 'content': 'Thanh Tâm zì zậy tâm'}, {'name': 'Thanh Tâm', 'content': 'Tác giả Tài Lê làm seooo'}, {'name': 'Thanh Tâm', 'content': 'Tác giả'}, {'name': 'Thanh Tâm', 'content': 'Tác giả ..'}, {'name': 'Thanh Tâm', 'content': 'Tác giả ..'}, {'name': 'Nguyễn Thu Huệ', 'content': ''}, {'name': 'Nguyễn Thu Huệ', 'content': ''}, {'name': 'Thanh Tâm', 'content': 'Tác giả .'}, {'name': 'Thanh Tâm', 'content': 'Tác giả .'}, {'name': 'Thanh Tâm', 'content': 'Tác giả .'}]",7.0,5.0,,,
214,No link,Người tham gia ẩn danh,Thành viên,16 giờ,"Có ai thấy học bài một mình nhàm chán qué thì ra tín hiệu tụi mình học chung cho có động lực nà
Tui nữ nha",No picture,"{'Thích': '2', 'Yêu thích': '1', 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,8.0,6.0,,,
215,No link,Người tham gia ẩn danh,Thành viên,13 giờ,Mọi người ơi cho mình hỏi mình quên đk nơi khám bệnh của bảo hiểm thì trường tự chọn nơi và trừ tiền phải không ạ?,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,9.0,7.0,,,
216,No link,Người tham gia ẩn danh,Thành viên,21 giờ,Cần bạn sv trợ giảng(chỉ chấm bài). Lương thoả thuận. Bạn nào làm dc lh 0969717510. Gần trường dh sư phạm,No picture,"{'Thích': '11', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Khánh Linh', 'content': 'Ib em ạ'}, {'name': 'Nghi Anh', 'content': 'Khánh Linh hết rồi e nha'}, {'name': 'Chi Matcha', 'content': 'Ib ạ'}, {'name': 'Hồ Mai Phương', 'content': 'Ib ạ'}, {'name': 'Phạm Nhật Huyền', 'content': 'ib em ạ'}, {'name': 'Hoàng Nhật Tâm', 'content': 'Ib em ạ'}, {'name': 'Tran Thi Y Nhi', 'content': 'Ib ạ'}, {'name': 'Huyền Trang', 'content': 'Ib'}, {'name': 'Nguyễn Thư', 'content': 'Em ạ'}, {'name': 'Phạm Thị Diễm', 'content': 'em ạ'}, {'name': 'Phương Thùy', 'content': 'Em ạ'}]",10.0,8.0,,,
217,,Minh Dương,Thành viên,14 giờ,Dạ em sinh viên khóa 18 đã học xong còn bằng tiếng anh đầu ra và tin đầu ra. Dạ cho em hỏi thời hạn cuối để nộp chứng chỉ cho khóa 18 tính sao ạ? Tại em đang ở quê chưa ra nộp đc ạ. Mong cả nhà giải đáp giúp em,No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,11.0,9.0,,,
218,No link,Người tham gia ẩn danh,Thành viên,16 giờ,trường mình tốt nghiệp xong có giới thiệu việc làm không ạ chứ e sợ ra trường thất nghiệp quá.,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': '1', 'Phẫn nộ': 0}",No comment,12.0,10.0,,,
219,No link,Người tham gia ẩn danh,Thành viên,20 giờ,"Mình cần một cô gia sư có chuyên môn sư phạm tiểu học, kèm cho bé lớp 1 môn toán và tiếng việt. Nhà mình ở khu vực An Hải Bắc, Sơn Trà. Bạn nào có nhu cầu liên hệ mình theo số 0909858620 nhé ạ",No picture,"{'Thích': '4', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,13.0,11.0,,,
220,No link,Người tham gia ẩn danh,Thành viên,20 giờ,"Anh chị cho em hỏi, cách đăng kí tín chỉ tự chọn với ạ",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,14.0,12.0,,,
221,No link,Người tham gia ẩn danh,Thành viên,22 giờ,Cuộc thi của khoa T.. H.. thật chuyên nghiệp thời gian không rõ ràng thay đổi liên tục đăng bài trước để được quyền lợi trước không biết quyền lợi ở đâu đã đăng bài rồi còn nhận bài dự thi các bài sau sẽ có cái để tham khảo liệu công bằng ở đâu,No picture,"{'Thích': '8', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '2', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Thanh Huỳnh', 'content': 'Ủa-)) phốt khoa mình hay khoa nào v? Minh Chi'}, {'name': 'Minh Chi', 'content': 'Thanh Huỳnh biết đâu=)), mà m tag xong h t mới biết cái gr này tồn tại á'}, {'name': 'Thanh Huỳnh', 'content': 'Minh Chi lạ lẫm qué Nhưng trường mình khoa TH còn nào khác khoa mình đou-)) Khó hỉu đien'}]",15.0,13.0,,,
222,No link,Người tham gia ẩn danh,Thành viên,Hôm qua lúc 00:02,SV năm nhất và rất cần 1 chị/ anh khóa trước giúp em vài chổ. Em đang làm tiểu luận nhưng mà có vài phần em không hiểu cách làm :< Ai cứu em với,No picture,"{'Thích': '5', 'Yêu thích': '1', 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Mai Phương', 'content': 'Em nữa huhu'}, {'name': 'Dương Thanh Nhã', 'content': 'Khánh Linhh Phạm Chi giống mình hồi đó ha=))'}]",16.0,14.0,,,
223,No link,Người tham gia ẩn danh,Thành viên,Hôm qua lúc 00:22,"Cứ vui vẻ ưu tiên đi mấy ông 
 tận hưởng đời sinh viên đi , làm chi mà hông có ny mà quýnh lên thế, mấy bả hông khó tán như mấy ông nghĩ đâu=)), tôi vừa già vừa xấu vừa  bấp bên đây vậy mà vẫn cua đc bà vk nhiều ng tán vừa trẻ vừa xinh đó thôi, bật mí cho mấy ông là dù mình là người chủ động tán tỉnh thì mình chỉ chấp nhận làm kèo trên thôi nhé ","{0: 'https://scontent.fdad3-1.fna.fbcdn.net/v/t39.30808-6/467449935_531967903155523_4581247877986427203_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeHgW2cDkaagqy-7KOhxabjFojfYoy78qVuiN9ijLvypW803585UBTlWuN2dvkKwGzxzVXmyDHF57Px8IGeF36sX&_nc_ohc=80yGQvAs1ZoQ7kNvgF7Abfr&_nc_zt=23&_nc_ht=scontent.fdad3-1.fna&_nc_gid=A6RN4n8RAZPhSkvgN7WReve&oh=00_AYCYjGhHB08zbojseMYlquqm7xmU3fsuoH6YXARhByuUZw&oe=6745D057', 1: 'https://static.xx.fbcdn.net/images/emoji.php/v9/td0/1/16/1f602.png', 2: 'https://static.xx.fbcdn.net/images/emoji.php/v9/td4/1/16/1f606.png'}","{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '3', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Nguyên Khang', 'content': 'xin tips'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Nguyên Khang đầu tiên khi tán ông cần xem khả năng tán đổ là bao nhiêu %, tỉ lệ càng cao chưa chắc đã đổ, và đứng dưới gốc nhìn của e nó mình có iu đc bản thân mình hông , nếu ko thì hãy build bản thân theo hướng mà crush mk quan tâm, đừng chạy theo quan điểm và cảm xúc của nàng, nếu nàng chưa quên nyc thì ko tán ko chấp nhận làm phiên bản nyc nâng cấp nha, chịu đựng tính mấy bả xíu, đừng cảm xúc cá nhân quá kìm lại'}, {'name': 'Nguyên Khang', 'content': 'Người tham gia ẩn danh ok cảm ơn bạc'}]",17.0,15.0,,,
224,No link,Người tham gia ẩn danh,Thành viên,24 phút,Lỡ crush 1 chị học UED thì 20/11 tặng quà gì ạ :)),No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh 812', 'content': 'Tặng babythree nhé'}, {'name': 'Thanh Tịnh', 'content': 'Tặng móc khoá len đi\ntrước cổng ktx bán dth lúm'}]",18.0,16.0,0.0,,
225,No link,Người tham gia ẩn danh,Thành viên,38 phút,"Ngày 20-11 tới rồi, lòng mình lại trĩu nặng những suy tư. Nhìn những bó hoa tươi thắm, những lời chúc gửi đến thầy cô, ký ức ngày nào còn là học trò lại ùa về, ngọt ngào nhưng cũng chông chênh. Giờ đây, đứng giữa ngưỡng cửa tốt nghiệp, mình băn khoăn mãi: sẽ ở lại Đà Nẵng, nơi mình đã gắn bó suốt quãng đời sinh viên, hay quay về quê hương, nơi từng nuôi mình lớn khôn?
Đà Nẵng cho mình biết bao kỷ niệm, bao giấc mơ dang dở, những cơ hội đang vẫy gọi. Nhưng quê nhà, với những gương mặt thân quen và tiếng gọi ruột thịt, cũng níu chân mình, nhắc mình rằng nơi đó luôn cần mình trở về. Mỗi lựa chọn như một ngã rẽ, mà rẽ hướng nào mình cũng lo sẽ đánh mất điều quý giá.
Những câu hỏi cứ xoáy vào lòng: ""Liệu mình ở lại có làm đúng? Liệu về quê có là trọn vẹn?"" Đêm nay, giữa tiếng gió lạnh của những ngày cuối năm, lòng mình chẳng khác nào cơn sóng nhỏ, cứ vỗ mãi vào bờ, xao động chẳng yên.",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': '1', 'Phẫn nộ': 0}",No comment,19.0,17.0,1.0,,
226,https://www.facebook.com/groups/1976889476160045/user/61564321421620/?__cft__[0]=AZUH41jRN53Fy0uFAx9aVRtS79FSbShoUzFNZ6HOjrIwTHNLUlAweuCYv_2FAjFYVclKpvovcrposlhnNYPHEvaEBnKYX31f0neeBpCFr6Tva88_4osc2sEUmpyynz9BCVVJjdbp6g-vq8bCRK9ivC5Z1G_0-sLKJhRP5PyS2GON3yNDw6Xyti7YOPkulo38ojedW60idljogrQf1Ssq0GTN&__tn__=-UC%2CP-R,UED Confessions,Quản trị viên,"Quản trị viên
   40 phút","Kính gửi thầy cô nhân ngày 20/11,
Thay mặt cho hơn 15.400 member
Chúng em xin gửi lời tri ân sâu sắc đến thầy cô – những người đã không ngừng dìu dắt, truyền cảm hứng và chắp cánh cho những ước mơ của chúng em.
Chúc thầy cô luôn mạnh khỏe, hạnh phúc và tiếp tục thắp sáng những thế hệ tương lai.
Tôn sư trọng đạo – mãi mãi khắc ghi!
Kính chúc 20/11 thật ý nghĩa!
--------------------
Và cũng không thể quên chúc cho những Tân Giáo Viên tương lai một ngày thật tuyệt với nhá","{0: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/467634570_122125178702477380_5691905032494061840_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeGYnuT2zOOSaK7jCTYubT43Hx58vO2byu0fHny87ZvK7fkokeSeeJJuo6ixgVWPkYKlvuu7pJzuT9pXjB6XnToH&_nc_ohc=Elj6y0DqlRYQ7kNvgGX_O1O&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=Ap1lbmh4i-Bzt7zA-exthFZ&oh=00_AYDeImqdYZU6-ZJAG-gorQYHZD-QEzX6V2mONDI4fu4SNg&oe=67433A3D', 1: 'https://static.xx.fbcdn.net/images/emoji.php/v9/te3/1/16/1f490.png'}","{'Thích': '1', 'Yêu thích': '5', 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,20.0,18.0,2.0,,
227,No link,Người tham gia ẩn danh,Thành viên,40 phút,"Hôm nay là 20-11, ngày của những người gieo chữ, lòng mình bỗng dưng rộn ràng hơn bao giờ hết. Là một sinh viên sư phạm, mình hiểu sâu sắc ý nghĩa của ngày này, nhưng hôm nay lại có một điều làm mình bâng khuâng mãi. Không biết người ấy sẽ tặng mình gì – một bông hồng đỏ rực tượng trưng cho tình yêu nồng cháy, hay một  babythree nhẹ nhàng nhưng đầy tinh tế, như chính lời chúc gửi đến một cô giáo tương lai? 
Mình không dám hỏi, chỉ lặng lẽ chờ đợi, lòng ngập tràn những đợt sóng cảm xúc. Dù là gì đi nữa, mình tin rằng món quà ấy sẽ gói trọn sự chân thành và yêu thương từ người ấy. 20-11 năm nay bỗng trở nên đặc biệt hơn bao giờ hết, không chỉ bởi khát vọng đứng trên bục giảng, mà còn bởi tình cảm ngọt ngào người ấy dành cho mình, như một ngọn gió ấm áp giữa những ngày cuối năm se lạnh.",No picture,"{'Thích': '3', 'Yêu thích': '3', 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,21.0,19.0,3.0,,
228,https://www.facebook.com/groups/1976889476160045/user/100090724313737/?__cft__[0]=AZUUWxhW7lEtmYYlV5rkhj37LACdSHTTE-OQr6IP_KZMTj4lccQAH1gsBBRoGS2EZnEOVGyh-0cQe-nXI6Zx8SC349fpUzZjHlLu1eqMwz5SbGAyggTam7XuQ6kvodJgnBiBRBwQP8V2AvYUDHThnQTZQJ-jnC-CqplA7jWhnGe0NwBI-w1iNF7f8T7XeV5iUgY&__tn__=-UC%2CP-R,Nguyễn Số,Thành viên,1 giờ,Mình cảm ơn các bạn nhé.,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,22.0,20.0,4.0,,
229,No link,Người tham gia ẩn danh,Thành viên,2 giờ,"Anh chị cho e hỏi e ko đki được GDTC 2 thì có bị lsao k ạ

Là e phải học lại ở năm sau ạ ?",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,23.0,21.0,5.0,,
230,No link,Người tham gia ẩn danh,Thành viên,2 giờ,ai mất ô liên hệ Hoàng Bách Thái Duy để lấy dù =)))),{0: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/467756438_1186518199714069_783753053899111264_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeHeOiMzVwaOWtK4T0MecTXhmoRm3D-VUjaahGbcP5VSNuGr9d5vkpd-eQ_qgHOws9IbDsasFnPrl7sI3hFZSMzH&_nc_ohc=JJuiBm5onD0Q7kNvgHiGVc_&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=A7c6gbrJDgKOYU3uGT1px4A&oh=00_AYCWn0dUOCBm1-_-Ly889aH35v7NONdhqKe8i34KAQCUjA&oe=67434275'},"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '8', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Cẩm Tú', 'content': 'Trương Bảo của b này nè'}]",24.0,22.0,6.0,,
231,No link,Người tham gia ẩn danh,Thành viên,12 giờ,Tiếng Anh chuyên ngành thì học ai là ok ạ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,25.0,23.0,7.0,,
232,No link,Người tham gia ẩn danh,Thành viên,13 giờ,mn ai pass môn bóng chuyền mã 24-0525 k ạ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': '1', 'Phẫn nộ': 0}",No comment,26.0,24.0,8.0,,
233,No link,Người tham gia ẩn danh,Thành viên,14 giờ,"Tạnh mưa rồi, anh dẫn em đi mua BabyThree nhân ngày 20-11 nhé",{0: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/467497058_490464123342911_5278975735331862092_n.png?stp=dst-png_p180x540&_nc_cat=109&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeH1g1zlECTeb-NtOnyB0WOPTm93L3uXGAZOb3cve5cYBkZjxCznOMnp4njKW71INmye39tHR9CUS33KZRgWtCqR&_nc_ohc=Iko-VmvitkgQ7kNvgHR4GSO&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=AC4wJ_lWJfn2I8wO_ADvz1N&oh=00_AYCxwCTlwJMh1MIbu_77oUh1yoQTEDcpwvajl9oSt5EYLQ&oe=67434873'},"{'Thích': '8', 'Yêu thích': '2', 'Thương thương': 0, 'Haha': '4', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Mỹ Kha', 'content': 'dạ'}, {'name': 'Như Lữ', 'content': 'Mỹ Kha kêu anh tí mua đi e'}, {'name': 'Xem tất cả 5 phản hồi', 'content': 'Như Lữ Mỹ Kha đi hong e'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Sắp 20-11 rồi ai đc ny tặng rồi nào'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả có ai đi chưa ạ, cho ké vs'}, {'name': 'Đinh T. Ngọc Luyến', 'content': 'Dạ'}]",27.0,25.0,9.0,,
234,No link,Người tham gia ẩn danh,Thành viên,15 giờ,Ngân hàng nào tốt v mn,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,28.0,26.0,10.0,,
235,No link,Người tham gia ẩn danh,Thành viên,18 giờ,Ai là sinh viên K23 SNV hong ạ? Chấm dưới cmt ib mình hỏi một vài điều với ạ. Mình cảm ơn.,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh', 'content': 'Tác giả .'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả .'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả .'}]",29.0,27.0,11.0,,
236,No link,Người tham gia ẩn danh,Thành viên,18 giờ,Mưa to thế này mấy bạn lo mua babythree tặng ny đi cho vui vẻ hạnh phúc,No picture,"{'Thích': '3', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '2', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh', 'content': 'Mưa to thế này mấy bạn nữ đang cần babythree sưởi ấm đó'}]",30.0,28.0,12.0,,
237,No link,Người tham gia ẩn danh,Thành viên,19 giờ,"Anh Sơn Lộc ơi, k24 mới nhú anh cũng k tha hả anh :))",No picture,"{'Thích': '23', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '50', 'Wow': 0, 'Buồn': '10', 'Phẫn nộ': 0}","[{'name': 'Thơm', 'content': 'Long Văn Mai hónggg'}, {'name': 'Mai Văn Long', 'content': 'Thơm sao thấy toàn trường m z=))'}, {'name': 'Quốc Đạt', 'content': 'Hồng Linhh mình để chị Linh ở đây hóng ké'}, {'name': 'Thanh Hiền', 'content': 'Zr Luyến kìa'}, {'name': 'Linh Thị Đào', 'content': 'Anh này chất v'}, {'name': '이경', 'content': 'Hoàng Thanh Mai cắm mắt'}, {'name': 'Thủy Ngân', 'content': 'Đinh T. Ngọc Luyến đăng đúng khônggg Cao Thi NụHoàng Thanh Mai'}, {'name': 'Thúy Hằng', 'content': 'Hoài Nhị dữ chưa'}, {'name': 'Nguyễn Trần Tường Vy', 'content': 'Phương Đan chắc má này up quá'}, {'name': 'Phương Ah', 'content': 'Gia Han hóng đi r kể bạn'}, {'name': 'Luyện Hoan', 'content': 'Vãi :)))'}]",31.0,29.0,13.0,,
238,No link,Người tham gia ẩn danh,Thành viên,19 giờ,"Nhớ em thật đấy!
Chúng mình gặp nhau có 3 lần thôi mà cảm giác thân quen đến lạ lùng. Cứ như đã có duyên từ kiếp trước.
Người ta nói em đanh đá nhưng trong mắt anh, em là cô gái mạnh mẽ, thông minh.
Lần đầu gặp em, a còn chẳng dám nhìn vào mắt e chỉ một lần. Ngại ngùng thế đấy Linh à, mà e chẳng biết đâu giờ đêm nào anh cũng nhớ em.
Chỉ cần có cơ hội gặp lại, anh nghĩ mình sẽ có đủ can đảm hơn để nói lời yêu em. Tiếc là tìm em giờ khó thật, hay là Cm hết duyên rồi.
Những thứ vớ vẩn cứ hiện nên trong đầu a, sợ ngày nào đó thấy e đi với người khác. Thôi thì dù thế nào anh cũng mong em thật hạnh phúc với lựa chọn của mình, còn với anh e luôn ở trong ngăn trái tim này.
Thương em,",No picture,"{'Thích': '5', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '15', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Công Tráng Nguyễn', 'content': 'Rồi phần seeding đâu rồi cụ, vứt cái link sọp pe hay cái quán nào đó cho đúng quy trình đi'}, {'name': 'Van Nhie', 'content': 'Thuỳ Linhh m'}, {'name': 'Thuỳ Linhh', 'content': 'Van Nhie anh nào z'}, {'name': 'Phạm Dung', 'content': 'Mỹ Iinh là chị hả'}, {'name': 'Mỹ Iinh', 'content': 'Phạm Dung cả trường bao đứa tên linh'}, {'name': 'Phạm Dung', 'content': 'Mỹ Iinh hỏng lẻ cả trường lại trúng mình chị'}, {'name': 'Nhat Quynh', 'content': 'Linhh chắc anh iame nhắn nhủ'}, {'name': 'Ng Hương Giang', 'content': 'Thùy Linh linh kìa'}]",32.0,30.0,14.0,,
239,No link,Người tham gia ẩn danh,Thành viên,19 giờ,"Tớ move on rồi nhưng quên cách yêu 
 có bạn nữa nào dạy mình lại được khong ạ (mong ad duyệt)",No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': '1', 'Buồn': 0, 'Phẫn nộ': 0}",No comment,33.0,31.0,15.0,,
240,No link,Người tham gia ẩn danh,Thành viên,19 giờ,Tin học đại cương học ai dễ ạ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,34.0,32.0,16.0,,
