content,label,start
"Áo phù hợp với giá tiền, cổ hơi rộng nhưng may lại được",NEU,3
Áo bị rách 1 đoạn,NEG,1
bộ này mjh thấy hơi rộng. vải cũng mỏng,NEG,2
Giao nhầm size Chất lượng sản phẩm tốt,NEU,3
Sẽ unge hộ shop dài dài 😍😍😍😍😍😍 Shop phục vụ rất tốt,POS,5
Mong lần sau shop sẽ uy tín hơn,NEG,2
Không giống hình cho lắm,NEU,3
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh ❤️,POS,5
Giao thieu hang,NEG,2
Excellent product quality Excellent packaging,POS,4
Bị rách đũng chỉ thừa nhiều,NEG,1
Bung chỉ 1 đoạn nên phải tự may lại,NEG,2
Tau vai thoải trễ đến bắp,NEU,3
Tư vấn nhiệt tình,POS,4
Như video,NEU,3
Chất lượng sản phẩm tuyệt vời. đẹp.,POS,5
Do ko giong trong hinh.phot day va mat vo len toi rung luon,NEG,1
Áo đẹp Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,POS,5
Hang đẹp,NEU,3
Tks,POS,5
Chất luọng sản phẩm khá tốt,POS,4
Rất đáng tiền..Thời gian giao hàng rất nhanh..mặc lên from đẹp lắm nha shop.,POS,5
Ba lô rất xinh,POS,5
Ko ngon như mình nghĩ,NEG,2
Áo đẹp lắm shop ạ,POS,5
"Mua 5 bộ thì có 1 bộ quần bị dính dơ, còn lại thì hài lòng",NEU,3
Vãi mỏng màu áo cũ sì đặc biệt cũ cái áo hôi mùi keo vl😑😑,NEG,1
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,POS,5
Shop giao nhầm hàng cho mình nhưng sau đó đã rep nhận lỗi,NEG,2
Vải mềm đẹp lắm,POS,5
Giá ok,POS,5
Giá cả phải chăng,POS,5
"Đóng gói Đóng gói sản phẩm rất kém Làm bục túi bột bên trong, xong còn kêu là hộp nào ờ shop cũng vậy, buồn cười",NEG,1
Cũng tạm dc,NEU,3
Quần qua bự,NEG,1
"Chất lượng sản phẩm tuyệt vời ,đẹp lắm",POS,5
Chất vải chán,NEG,2
Chất lượng sản phẩm tuyệt vời,POS,5
Bên ngoài hộp tan nát,NEG,2
Và chất vải cũng k đáng mong đợi cho lắm,NEG,2
"K ưng ý với nhân viên giao hàng,thái độ nói chuyện k đc tốt",NEG,2
Tuy nhiên vải hơi nóng,NEG,2
Nhưng nói chung thì vẫn đẹp,NEU,3
đúng là tiền nào của đó. chơi hàng giả luôn,NEG,1
Coi như bỏ tiền mua áo rách vậy,NEG,1
Gửi thiếu 1c áo nt k tl,NEG,2
Đáng giá tiền,POS,5
"Bàn mới mua mà nhận được như này, cố tình giao cho khách hàng kém chất lượng",NEG,1
"Lần đầu mua shop giao nhầm màu (đã gửi lại cho shop, đang đợi hoàn tiền)",NEU,3
Chất lượng oke ạ,NEU,3
Buồn thế ý,NEG,2
Chất vải với giá này thì ok,NEU,3
Thời gian giao hàng tạm được áo bị rách,NEG,2
Đóng gói sản phẩm chắc chắn,POS,4
"Quần đẹp, vải dày dặn, mình 46kg đặt size M mà thấy ôm lắm ko biết vài bữa bầu to mập lên mặc được ko nữa",POS,4
Nhưng thái độ phục vụ không thể chấp nhận được,NEG,1
Vải đẹp nhưng màu ko giống với hình,NEU,3
Shop nhiệt tình,POS,5
Cho hẳn 5 sao vì cái tội áo đẹp :)),POS,5
tiền nào của nấy,NEU,3
Đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
Đóng gói sản phẩm tạm được,NEU,3
Mua từ hôm mùng 1 là được 5 ngày uống,NEU,3
"Rất tiếc mặc ko vừa, phải có size Xl thì tuyệt hơn",NEU,3
Áo đến rấttttt nhanh,POS,5
Chưa dùng nên chưa biết chất lượng ra sao nhưng đóng gói sp tốt,POS,5
Đã nhận được hàng,NEU,3
Áo k như hình,NEG,1
"Chat lieu vai qua xau, duong may au",NEG,1
Giày hơi dơ,NEG,1
"Định đánh giá 2 sao rồi, nhưng ib bạn ý xong, mình đổi ý",NEU,3
Nhưng chất vải rất dày dặn cần nặng tay,NEU,3
Chuông cửa k có pin,NEU,3
Áo đẹp lắm ạ,POS,4
"Áo trắng có vết bị cắt 2 chỗ,k hiểu kiểm hàng,giao hàng cho khách kiểu gì nữa",NEG,1
Túi nhỏ hơn so với ảnh,NEU,3
Chất lượng sản phẩm tuyệt vời,POS,5
"Case đẹp, fan xấu :D",POS,4
Khoảng 10 phút thì cục chuyển đổi hơi nóng,NEG,2
Mua size xl mà giao size l coi như khỏi mặc luôn,NEU,3
"Banh bị xì , bơm mãi ko căng",NEG,1
"Khá đẹp, nhưng thật sự âm thanh không to",NEU,3
Quần đẹp,POS,4
Chẳng nhẽ đều là đánh giá ảo,NEG,1
Quá bực mình với người giao hàng,NEG,1
Thời gian giao hàng rất nhanh,NEU,3
Hic,NEG,2
Áo chất đẹp nhưng mình mặc hơi rộng nên hơi buồn tí,NEG,2
"Đã nhắc nhở kĩ càng mà vẫn giao thiếu 2 món mình cần nhất, tuy rằng shop hoàn tiền nhưng giờ mình phải đi mua lại và chịu ship 1 lần nữa có bực ko, đặt 13 món thiếu hết 3 món",NEG,1
Áo đẹp nha các bấy bỳ 😘,POS,5
Màu ko giống hình lắm,NEU,3
Đặt 5 giao 4 nt shop ko trả lời,NEG,1
Giao hàng chậm,NEG,1
Mua giùm chứ có mua mặc đâu mà sao cũng đc,NEG,2
Đóng gói sản phẩm không cẩn thận .giao hàng chậm,NEG,2
💟💟💟💟💟💟💟💟💟,POS,5
Tay hơi ngắn.from chuẩn.đẹp Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt,POS,5
Quá thất vọng,NEG,1
Sản phẩm giống trong ảnh 👍🏻 chất đẹp,POS,5
"Mới thử bằng màn hình máy cây, thấy nhận hình luôn",NEU,3
Ao khong giong hinh,NEU,3
"Shop giao hàng nhanh, có điều ảnh trên áo mờ do phóng to vỡ nét hoặc mực in mờ",NEU,3
Gửi hàng ko đúng theo đặt hàng,NEU,3
Nguyên seal nhưng chất lượng giấy không tốt lắm,NEG,2
Mình cao 1m7. 55kg vừa in size L,POS,4
Áo không giống màu,NEG,1
Giao hàng nhanh,POS,4
Có mùi dầu hỏa,NEG,1
ANH CHỊ EM KHÔNG NÊN MUA HÀNG TẠI SHOP,NEG,1
Nhưng dây kéo hơi bị rít khó kéo,NEU,3
Không bao giờ mua shop này nữa,NEG,1
Thời gian giao hàng lâu,NEG,1
Với giá rẻ như thế này thì nói thật lúc đầu mình cũng ko hy vọng j quá nhiều,NEU,3
Đóng gói kỹ và shop thân thiện,POS,5
"Áo ko quá mỏng, nhưng mặc rất ấm, chắn gió tốt, thừa chỉ hơi nhiều còn lại ok rất đáng tiền",POS,5
Chất lượng sản phẩm tốt Đáng đồng tiền Thời gian giao hàng rất nhanh,POS,5
Chỉ là mk đã đo đạc kỹ càng lắm rồi mới chon size nhưng mang vào vẫn hơi hơi chật xíu,NEG,2
Chất lượng sản phẩm kém Đóng gói sản phẩm kém Không đáng tiền,NEG,1
Sản phr rất ưng ý,POS,5
hang nhin vay thoi. chu luc giao hang thi ko dung voi mo ta,NEG,1
Sờ chất ok,NEU,3
Shop giao nhầm màu: đặt màu nâu sữa giao màu vàng,NEG,1
Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm kém,NEU,3
"Chất lượng sản phẩm tuyệt vời vải mịn thích lắm, giao hàng nhanh",POS,5
Quần quá rộng size s mầm cứ như xl vậy vậy,NEG,1
"Áo đẹp, giống hình",NEU,3
"Có điều màu hồng ko giống trong ảnh, hồng hơn nhìn hơi sến 1 tí. 😂😂",NEG,2
"Áo chất liệu mặc mát , size L vừa i với mình",POS,5
Đây là màu hồng,NEG,2
Vì k có khóa kéo chỉ có dây thắt nút thôi(cái này túi đựng trong hình khách nhau) Túi đựng nhỏ khi bỏ thảm vào toàn bị dít vào nhau,NEG,2
màu kẻ đậm k đẹp lắm,NEU,3
Giao hàng không đúng mẫu,NEU,3
Phù hợp với giá thành,NEU,3
"Chất lượng sản phẩm không được tốt, hàng giao bị bẩn đục ở tay áo",NEG,2
Áo đẹp mà mũ nhỏ quá,NEU,3
"Hộp đựng sản phẩm nhái hàng USA , dễ vỡ rách, nghi hộp giả in ở VN rồi đóng gói",NEU,3
Quá thất vọng,NEG,1
Thời gian giao hàng rất nhanh.Rất hài lòng với shop,POS,5
Áo thật màu sẫm hơn ảnh,NEU,3
Jum chi mà bé 10kg bằng cái jum đùi đang có,NEG,1
áo đẹp. mặc vừa với mình. ủng hộ shop,POS,4
Mình đặt quần ren mà gửi mình quần gân :(,NEG,1
Nhận hàng xong thất vọng ghê gớm :(,NEG,1
Chất áo hơi nónh xíu,NEU,3
Chị tư vấn nhiệt tình lại còn chu đáo,POS,5
Mắc so với chất lượng,NEG,1
"Mẫu không như hình, đường máy sơ sài nhiều chỉ thừa",NEG,2
Chất lên xù,NEG,2
Chất lượng sản phẩm tạm được,POS,4
"Chất lượng tạm được , đường may kg sắc sảo,",NEG,1
Quần rộng,NEU,3
Tuy nhưng hồ k có mùi thơm lắm,NEU,3
Giá tốt,POS,4
Thời gian giao hàng rất nhanh... nhưng bung hàng ra thi co vài trai banh bị bể,NEU,3
Shop k nói rõ hơi thất vọng,NEG,2
Lần thứ 2 em mua hàng bên shop vẫn ưng như lần đầu,POS,5
"Sp đúng mẫu, chất lượng cũng đc so vs giá nc là ok",POS,5
Rất đẹp,POS,5
"Áo đẹp mà hơi nhỏ, bt minh mặc size m mà size l vẫn bị kích :)",NEU,3
Chất lượng kem,NEG,1
Cám ơn shop nha,POS,5
May mà ko đặt 2 bộ,NEG,1
Áo rách ngay vai trước 1 vết lù lù này mà shop vẫn gửi hàng đc,NEG,1
Size M nhưng hơi rộng (mình 57kg),NEG,2
Cho 3 sao,NEU,3
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,POS,5
Cũng khá được,NEU,3
Chất lượng sản phẩm tạm được... tiền nào của đấy ạ đặt màu xanh đậm thành nhạt. mẫu cũng khác.. ch,NEU,3
"Giá cả phải chăng, áo đẹp, mặc êm và thoáng, sẽ ủng hộ shop",POS,5
Mùi khó chịu và hắc vô cùng Đóng gói sản phẩm tạm được,NEU,3
Se ủng hộ shop tiếp,POS,5
Nói chung thì nên mua Hàng tốt một chút mới mặc đi chơi dc,NEU,3
"Tôi k hài lòng chút nào, quá thất vọng",NEG,1
Thanks shop,POS,5
Nói chung né shop này ra mất uy tín,NEG,1
Tuy nhiên mùi còn hôi,NEG,2
"Áo khoác dù, mặc mát",POS,4
"vải đẹp, size M như size S, người mình bằng với mẫu mà mặc chật, mua về để đó làm kỷ niệm",NEU,3
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền mới đặt sáng hôm trước thì trưa hôm nay đã nhận đc hàng ( ship tỉnh) sẽ quay lại !!!,POS,5
thoi gian giao hang cham hon moi khi,NEG,2
Mình 41kg mà mặc áo còn bó,NEU,3
"Không trả lời tin nhắn,mình không hiểu lý do",NEG,1
Ai mún xem liên hệ https://facebook.com/hoangyenngan,NEU,3
"Hàng sai màu, nhưng v giá tiền như thế là tạm ổn",NEU,3
nhưg vẫn 5*****,POS,4
Giao hàng k đúng mẫu,NEG,2
Shop giao sai màu,NEU,3
"Áo đẹp, ấm vừa",POS,4
Lo viên xả vải này tôi mua về không thấy thơm,NEG,2
Hàng nâu cam nhưng hình ảnh quảng cáo là xám cam,NEG,2
"Shop chuyển hàng rất nhanh, sản phẩm đa dạng, tuy giá rẻ nhưng chất lượng rất tốt",POS,5
Mua về giặt cho hết mùi vải rồi lem tùm luôn,NEG,2
Kiểu dáng y hệt hình nhưng chất vải k mát lắm,NEU,3
Đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
Áo bị lỗi mà sao shop lại giao cho khách,NEG,2
Chất lượng sản phẩm tạm được...so với giá tiền thì ok..còn so với hình mẫu k giống lắm,NEG,2
Mặc lên ai cũng khen quá đẹp,POS,5
Chất lượng sản phẩm tuyệt vời,POS,5
"Đã lưu ý rõ là shop tránh nhầm size, màu thì có thể giao sai, chứ size mà sai thì ko mặc được luôn",NEU,3
Chất vải có chút không như mong đợi,NEU,3
May ko đẹp,NEG,1
"Giao hàng nhanh làm tốt, giày phù hợp với mức giá và khá tốt",NEG,1
"Thời gian giao hàng rất nhanh, Hàng ok",POS,4
Áo len quá mỏng và bó,NEG,2
chất rất đẹp ko bị nhăn. mình sẽ mua nữa 👍,NEU,3
Xẹp lép ko giống như hình sản phẩm,NEU,3
Có điều size rất rất nhỏ luôn,NEG,2
Thời gian giao hàng hơi lâu,NEU,3
Thật Sự Thất Vọng,NEG,1
Chất lượng quá ổn so với giá tiền,POS,4
Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền,POS,5
Box thì bị nát,NEU,3
Giá tận 175k nhưng ko ghi giá trên chai ko biết có khai khống giá không,NEG,1
Mua 2 đôi nên chia ra tầm giá đó chấp nhận đc,NEU,3
"Áo sơ mi đen k rộng như hình, mình mặc vào trông rất gầy, vải k đẹp lắm",NEG,2
Chất lượng cực kì tốt nha m.n,POS,5
"Lúc trước mua của shop khác cũng để hàng l1 mà mới mang vào đã rách, này mới đúng l1 nà, tks shop mang vào thon gọn chân, thật chân nhưng hơi mỏng",POS,5
"Tuy nhiên phần lót gót lại nhỏ so với khuôn giày, đặt vào lọt thỏm",NEG,1
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt,POS,5
Vải cũng ổn ạ,POS,4
"Mặc dù biết áo gấp nhỏ vào để dễ vận chuyển nhưng thực sự là nó quá nhàu và nhiều nếp gấp dù đã giặt nhưng vẫn còn chắc phải là mới phẳng ra được, áo mặc vào hơi ngứa",NEU,3
Chất lượng sản phẩm tuyệt vời Sp rất giống hình,POS,5
"Áo form nhỏ hơn bt, không ôm lắm",NEG,2
Đáng nhẽ là ko đc * nào ấy ạ,NEG,1
Sản phẩm xinh y hình ạ <3 Shop trả lời tin nhắn cũng dễ thương nữa ạ <3,POS,5
"Chất lượng sản phẩm tuyệt vời,gửi nhầm cho 1 quần cỡ l hơi rộng",NEU,3
Áo mỏng nhìn cũng đc nhưng ko giống hình,NEG,2
"Chiều rộng giữa 2 chân hơi ngắn, khi ngồi sau trên xe máy thấy hơi khó chịu",NEG,2
"Chất lượng sản phẩm tuyệt vời, hàng giao giống hình, nhanh",POS,5
"Năm ngoái cũng mua 1c quần warm bên shop r,quần chất khác so với năm ngoái cứng hơn shop ạ",NEG,2
Mn nên xem xét trước khi đặt hàng,NEG,1
"Chỉ hơi ngắn một chút nhưng cũng không đến nỗi, tầm ngang đùi",NEU,3
Bạn nào 1m65 tro lên thi mac sẽ bị ngắn,NEU,3
Dây bảng qá to móc cài khổng lồ luôn ko như hình,NEG,1
Rat ung y luon!,POS,5
Áo cực đẹp,POS,5
"Chất lượng sản phẩm tạm được, áo hơi mỏng nhưng mặc ấm",POS,4
"Shop phục vụ rất tốt, Đóng gói sản phẩm rất đẹp và chắc chắn, Rất đáng tiền",POS,5
Xấu,NEG,1
"Dáng áo , và chất lượng rất đẹp, chủ shop nhiệt tình đóng gói cũng đẹp luôn ạ, nếu có 10 🌟 em cũng tặng 10 🌟 ạ 😂😂😂",POS,5
"Quả này hơi mỏng, không như mong đợi",NEU,3
"Sản phẩm kém chất lượng, k phải vải voan, mỏng, sờ chất nóng",NEG,1
Lần đầu xài nên k bik so sánh với loại mua trong siêu thị,NEU,3
Tạm được với giá tiền,NEU,3
Nc là khá hài lòng Rất đáng tiền,POS,5
K như mong đợi,NEU,3
Đã ăn thử và đang bán luôn ạ,NEU,3
"Mũi nỉ thì đẹp đều khi mà bẩn thì hơi khó làm sạch, shop chỉ cách làm sạch phần mũi nỉ khi bẩn đc ko",POS,4
Mình lấy 2 lần hàng gần 1 triệu đều giao thiếu,NEG,2
"Quần rất cúng, bé mặc lằn hết đùi",NEG,1
Chất khá ổn,NEU,3
Màu hơi tối so vs ảnh,NEG,2
Shop nên chỉnh lại,NEU,3
"chất vải nhiều coton,hơi nóng và k đc mềm",NEG,2
Áo thực tế xấu tệ ko đẹp như hình: chất giống loại vải thun để may lót trong khi trên hình thì như thun giấy.,NEG,1
Hàng giống hình,POS,5
Chất đẹp,POS,4
Hay mua tăng len 1 size,NEU,3
"Cái này mặc với quần dày, tối màu thôi nhé, các bạn mặc áo dài, quần trắng, mỏng đừng bon chen 😂",NEU,3
Hàng của chị thì đẹp khỏi bàn ạ,POS,5
Váy rộng không giống hình,NEU,3
Đụng vô là rách,NEG,2
Mình không hài lòng,NEG,1
"Thời gian giao hàng rất chậm nên để 4 sao, Sản phẩm ok!",POS,4
Thả tim cho shop ❤️❤️,POS,5
Giá tốt.👍,POS,4
Gửi về là váy sơ mi bình thường,NEG,2
2 hũ 4 và 6 sx năm 2018 nhưng hũ 15 thì sx năm 2017,POS,4
Đối với nam hơi body,NEU,3
cưng hết sức... ^^ hết nơm nớp si nghĩ rồi..,POS,5
Giao hành siêu nhah👍🏻,POS,4
Nhìn mong manh quá,NEU,3
Shop không có màu sản phẩm như mình đặt nhưng ko báo cho mình biết trước khi giao hàng,NEG,2
Sản phẩm bị rách bên ống chân phải khoảng 10cm,NEG,2
"Áo dày dặn, y hình ❤️",POS,4
"Áo xinh giống hình lắm, bận cute",POS,5
Áo rất nhăn,NEG,2
Chỗ ống quần có vết dơ như dính mực nhưng ksao,NEU,3
Chất da cá ( tiền naoc của đó ),NEU,3
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,POS,5
"Màu quá xấu, màu tươi quá nhìn ghê",NEG,1
Áo lưới mềm,NEU,3
Đường may hơi ẩu chỉ có vắt sổ,NEG,2
Shop phục vụ rất tốt,POS,5
"Mặc rất vừa, Có điều quai k tháo rời đc",NEU,3
"Chất vải áo thì được nhưng k có chữ thì hơn, giặt xong chữ đã dính tùm lum vào nhau, gỡ ra thì rách",NEG,1
Áo đẹp lắm shop ah,POS,5
Rất mỏng,NEG,1
Form phù hợp cho nhữg bạn dág gầy,NEU,3
Ok xài dc,NEU,3
K thấy gửi móc cho,NEG,2
Tiếc phần đế chưa đc gia công tốt,NEG,2
Vải mỏng shop phục vụ tốt,NEU,3
Chất lượng sản phẩm tuyệt vời eo ôi đẹp kinh khủng ưng kinh khủng luôn í ❤️❤️❤️,POS,5
Minh dat tu size so 8 den size,NEU,3
Vải dày tốt,POS,5
Cảm ơn shop,POS,4
"Hàng rất đẹp ạ,cảm ơn shop ❤",POS,5
Sp giống như hình,NEU,3
"Chất len ko quá mỏng, len khá mềm",POS,4
Vải xấu,NEG,1
Mặc vừa lắm ạ,POS,4
"Phom ok, chất mềm mát",POS,4
Nhưng vẫn đánh giá 5 sao vì độ đáng yêu nhiệt tình của chủ shop. <3,POS,5
"Nhưng mình 45kg, cao 1m52 mặc size M cảm thấy hơi cộc",NEU,3
Áo rẻ mà đẹp y hình 💓💓💓 Mong shop nhập thêm nhiều mẫu mới để ủng hộ tiếp,POS,5
Hàng nhận được k phải loại mk đặt vì shop đã ib nó hết hàng như mk k kịp hủy thì cái này mình thấy cũng được nhưng mà tại sao mình đặt 4 áo lại giao có 3 áo tính tiền 4 chiếc,NEG,2
Ổn,NEU,3
Minh nhan dc hang roi,NEG,1
"Chất dày dặn rất ưng ý, thêu nét",NEU,3
Sao sáng ít quá hầu như đều ko sáng:),NEG,1
Chất lượng sản phẩm tuyệt vời,POS,4
Đúng giá tiền,POS,5
"Xài thích, các bạn có thể yên tâm chọn sp này về xài mà k cần lo",NEU,3
Đóng hàng thì có vẻ chéc chén,POS,4
Đặt size s mà shop giao size M,NEU,3
"Shop đưa mình toàn mauf tối, ko ưng lăms",NEG,1
tốt so với giá,POS,4
Chất vải okie mặc lên cực dth như tay hơi ngắn,NEU,3
Chất lượng sản phẩm tạm ổn,NEU,3
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt, nhiệt tình",POS,5
Cảm thấy rất an tâm khi dùng,POS,4
Chất lượng sản phẩm kém không đáng tiền chất vải nhăn mỏng rất xấu không xứng với giá tiền,NEG,1
Chưa mở ra đã thích rồi,POS,4
Áo đẹp cực kì,POS,5
"Hàng đóng gói cẩn thận, nhưng đặt mẫu 4 giao mẫu 3",NEG,2
Chưa hề nhận được hàng,NEG,2
Chưa biet la cái màu gì luôn ..,NEG,2
Nhận đc sản phẩm rất hài lòng,POS,5
Chất vải tạm đc nhưng giá đấy là ok rồi,POS,4
Vỏ trầy xước hơi cũ,NEG,2
Chat liệu vai xau,NEG,1
Sẽ ủng hộ dài dài.,POS,5
Cảm ơn shop,POS,4
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, hàng mặc rất ok, rất đẹp 😍",POS,5
Mùi nhài thơm thơm,POS,4
Mút loại mỏng nhé các b :),POS,4
Kh đẹp,NEG,1
"Có chút ko hài lòng vì sp bị bẩn và bung đường chỉ, màu sắc đậm hơn ảnh chụp",NEG,2
Chắc chắn,NEU,3
"Chất vải nóng, vắt chỉ ẩu",NEG,2
Dat do dai giao do ngan,NEU,3
Thảm đẹp ô kê,POS,4
Sản phẩm k tốt,NEG,2
Vải oke đẹp,POS,5
Thất vọng,NEG,1
😘,POS,4
Mỗi cái e mặc hơi rộng kích,NEG,2
Hàng không đúng như miêu tả,NEG,1
K giao đúng mùi mình chọn,NEG,1
"Vải quá mỏng cần mặc thêm váy lót bên trong, màu nhìn cũ",NEG,1
Mình đọc tai zin nên mới mua nhưng k đúng sự thật vì vậy đánh 1 sao cho người khác còn biết để tránh mua nhầm như mình,NEG,1
Size M thì có lẽ vừa hơn,NEU,3
Sp giống trong hình,NEU,3
"Sản phẩm phù hợp với giá tiền, chất lượng tạm được",NEU,3
Chất lượng sản phẩm tuyệt vời,POS,5
Giao hàng nhanh nữa,POS,4
"Đánh lên mắt cũng rất ok, đáng tiền, sẽ lại ủng hộ shop",POS,4
"Phản hồi mình trả hàng đi, ko đổi ko ship j cả",NEG,1
"Nhưng ko nên gập lưng túi làm nó bị gãy rất mất dáng, cũng ko cho hộp giấy hãy bọc nylon",NEG,2
"Đóng gói hàng cẩn thận, giao hàng siêu nhanh, áo siêu đẹp... sẽ ủng hộ shop dài dài",POS,5
"Hàng y hình, rất ưng",POS,5
Áo nhìn không giống hàng mẫu,NEG,2
Sản phẩm phù hợp với giá tiền,POS,5
Giao hàng chậm,NEG,2
Shop phục vụ rất tốt,NEU,3
Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
Sẽ tiếp tục ủng hộ shop,POS,4
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt,POS,5
Shop ban hang lua doi khách thi chẳng đáng sao nao,NEG,2
Không cho vào và kéo ra được,NEU,3
Shop cho hỏi giờ máy bị lỗi thì bảo hành sao ạ,POS,4
Giao hang rat nhanh,POS,5
Form ko to như quảng cáo cho ng 65kg cthe vừa,NEU,3
Chất lượng sản phẩm tạm được Đóng gói sản phẩm tạm được Giá cả chấp nhận được,NEG,2
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
Size 43 nhưng đi không vừa chân phải đặt lại 44,NEU,3
Làm ăn gì kì vậy Shopee,NEG,1
"quần có mùi hôi và ra màu kinh khủng, nghĩ sao giặt ra màu mà khô rồi mạqc vô chà tay là đen sì, tệ",NEG,1
"Đặt đỏ đô thì giao hồng choé, đặt dài tay thì giao cộc tay",NEG,2
"Dùng tốt, đợi thêm thời gian nữa xem có hiệu quả không",NEU,3
vai dep,POS,4
Như mớ rơm,NEG,1
Tạm chấp nhận được,NEU,3
Nhưng đường chỉ xấu,NEG,2
Mua về giờ ko mặc được,NEU,3
Nhân viên còn lóng ngóng phải chờ lâu,NEG,2
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Rất đáng tiền,POS,5
Thời gian giao hàng nhanh Đóng gói sản phẩm tạm được,NEU,3
Đóng gói sản phẩm đẹp,POS,4
Xấuuuuưuuuuu,NEG,1
Nên phải trả hàng,NEG,2
Hang mong qua bao 60kg do lai mac vua may minh 54kg mac con hoi chat thé ms 55kg mac sao vua,NEG,2
Còn chắc hay k thì đợi chơi thêm 1 tg nữa mới biết,NEU,3
Hàng giao rất nhanh,POS,5
"Mua 5 cái thì cái này mình ưng nhất, sẽ ủng hộ shop lần sau",POS,5
Vải tốt,NEU,3
"Giao hàng nhanh,shop vui vẻ",NEU,3
Chất lượng sản phẩm OK 💕,POS,4
"Hàng đẹp, chất mà mình mặc hơi rộng",NEU,3
Với $ bỏ ra thì sp của shop thực sự khiến tôi hài long,POS,5
"đóng gói sản phẩm chắc chắn, thời gian giao hàng nhanh, còn chất lượng thì chưa biết vì chưa xài",NEU,3
Thanks shop,POS,4
"Chất liệu k giống hình, quá mỏng và bung hết đường chỉ , không mặc được",NEG,1
Màu hồng dễ bị dính màu,NEG,2
Thảm hơi mỏng,NEU,3
Thời gian giao hàng nhanh phục vụ rất tốt 👍,NEU,3
Chất lượng sản phẩm tạm được,NEU,3
"Dùng rất ok, chỉ ko biết dùng liệu có lâu được ko thôi hì 😄",NEU,3
Chất áo rất thíc Chất lượng sản phẩm tuyệt vời,NEU,3
"SẢN PHẨM RẤT TỐT, CHỦ SHOP ĐÁNG IU",POS,5
Áo rất đẹp,POS,5
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Vải hơi mỏng xíu xiu nhưng k sao,POS,4
Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
Mua 1 kiểu giao hàng một kiểu.người bán không đáng tin,NEG,1
Rất đáng tiền,POS,5
Chat luong,NEU,3
Đéo có hộp @@,NEG,1
Chủ shop có tâm,NEU,3
Vải bị xước mấy chỗ,NEU,3
"Mặc mát, vải ok",POS,5
"nhưng cũng phù hợp với giá tiền, mặc vẫn ok",POS,4
"Mình chưa dùng thử nhưng mùi thơm nứt luôn, cát ít bụi",POS,5
Lan sau rut kinh nghiem,NEU,3
Mình đặt sai S nhưng lại ship sz M,NEG,1
Đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
Tuy nhiên có dấu hiệu xé bọc giấy bên ngoài ảnh hưởng tới da của ví,NEU,3
bộ đồ chẳng mặc được.khiếp mua trên mạng,NEG,1
Chất áo khá được,NEU,3
"Hơn cả mong đợi, nên mua",POS,5
Chất lượng sản phẩm tạm được mua 2 bộ 2 mâu khác nhau nhug 1kiu thi size vừa 1 size. rất to,NEU,3
Shop phục vụ rất tốt,POS,5
Đẹp quá ủng hộ shop lâu dài,POS,5
Rất đáng tiền,POS,5
Áo đẹp vãi mịn..,POS,5
Hàng y hình,POS,4
"Chất lượng tốt, có 2 bộ nhỏ, thôi cho người ta",NEU,3
Giao đúng màu ạ,NEU,3
Đg nay đẹp,POS,4
Cảm ơn shop,NEU,3
